"Nombre","Descripción","Tipo","Dirección","Latitud","Longitud"
"Convento de San Clemente","<p>Este monasterio de monjas cisterciense destaca por sus especialidades en Mazapanes de pi&ntilde;on, Cortadillos, Tortas de polvor&oacute;n, Roscos clementinos, Pi&ntilde;onadas, Empanadillas de hojaldre, Rellenas de cidra y Cortadillos especiales con vino y Aguardiente en la masa. En Cuaresma hacen Torrijas y Pesti&ntilde;os.</p>
","Dulces","C/ Santa Clara, 91",37.402215,-5.996079
"Convento de Santa María del Socorro","<p>En&nbsp; este monasterio residen las Hermanas Concepcionistas Franciscanas, especialistas en la elaboraci&oacute;n de Pesti&ntilde;os, Amargillos, Tocino de cielo,, Mantecados, Tortas, Sultanas, Roscos de Navidad, Rosquillas cordobesas, Yemas de almendra, Turroncillos de chocolate y Delicias de coco con tres variedades. En Cuaresma hacen torrijas.</p>
","Dulces","C/ Bustos Tavera, 30",37.39561,-5.987984
"Convento Madre de Dios","<p>Las Hermanas de la Orden Domenica&nbsp; del Convento Madre de Dios, elaboran una gran variedad de dulces artesanos, tales como: Bocaditos &aacute;rabes, Naranjitos sevillanos, Cordiales, Yemas de batata, almendrados, Gallina de leche, Bienmesabe, D&aacute;tiles rellenos de mazap&aacute;n, Perrunillas, Bocaditos de almendra y Empanadillas hechas al horno y rellenas de Boniato o Cidra con aroma de Aguardiente.</p>
","Dulces","C/ San José, 4",37.388198,-5.989179
"Convento de Santa Paula","<p>En el convento de Santa Paula se elaboran gran cantidad de dulces&nbsp; para su posterior venta al p&uacute;blico. Destacan entre todos: Mermeladas y jaleas (19 variedades), Dulce de membrillo y Pimientos morrones en alm&iacute;bar. En Navidad, Alfajores Moz&aacute;rabes.</p>
","Dulces","C/ Santa Paula ",37.396197,-5.985838
"Convento de San Leandro","<p>La comunidad de las Monjas Agustinas del Convento de San Leandro son expertas en la elaboraci&oacute;n de las llamadas &quot; Yemas de San Leandro&quot;, hechas&nbsp; a base de huevo, azucar y zumo de lim&oacute;n, y los pesti&ntilde;os.</p>
<div class=""rte"" id=""idTab1"">
<p>Las Yemas de San Leandro es un dulce de gran reconocimiento en toda Espa&ntilde;a.</p>
</div>
<p>&nbsp;</p>
","Dulces de Convento","Plaza de San Ildefonso, 8",37.390641,-5.988412
"Convento de Santa Ana ","<p>Las hermanas Carmelitas son expertas en la preparaci&oacute;n&nbsp; de Yemas, Pesti&ntilde;os, Empanadillas, Carmelitas, Pastas de receta alemana y Torrijas (En Cuaresma ).</p>
","Dulces de Convento"," C/ Santa Ana, 34",37.375371,-5.955058
"Convento de Santa Inés ","<p>Las Hermanas Franciscanas Clarisas del Convento de Santa In&eacute;s, preparan con mimo excelentes especialidades como Cortadillos, Bollitos de Santa In&eacute;s, Mantecados, Pastas, variedad de Tortas y cajas surtidas. y Pesti&ntilde;os (En Cuaresma).</p>
","Dulces de Convento","C/ Doña María Coronel, 5",37.393226,-5.989687
"Convento de San Clemente","<p>Este monasterio de monjas cisterciense destaca por sus especialidades en Mazapanes de pi&ntilde;on, Cortadillos, Tortas de polvor&oacute;n, Roscos clementinos, Pi&ntilde;onadas, Empanadillas de hojaldre, Rellenas de cidra y Cortadillos especiales con vino y Aguardiente en la masa. En Cuaresma hacen Torrijas y Pesti&ntilde;os.</p>
","Dulces de Convento","C/ Santa Clara, 91",37.402215,-5.996079
"Convento de Santa María del Socorro","<p>En&nbsp; este monasterio residen las Hermanas Concepcionistas Franciscanas, especialistas en la elaboraci&oacute;n de Pesti&ntilde;os, Amargillos, Tocino de cielo,, Mantecados, Tortas, Sultanas, Roscos de Navidad, Rosquillas cordobesas, Yemas de almendra, Turroncillos de chocolate y Delicias de coco con tres variedades. En Cuaresma hacen torrijas.</p>
","Dulces de Convento","C/ Bustos Tavera, 30",37.39561,-5.987984
"Convento Madre de Dios","<p>Las Hermanas de la Orden Domenica&nbsp; del Convento Madre de Dios, elaboran una gran variedad de dulces artesanos, tales como: Bocaditos &aacute;rabes, Naranjitos sevillanos, Cordiales, Yemas de batata, almendrados, Gallina de leche, Bienmesabe, D&aacute;tiles rellenos de mazap&aacute;n, Perrunillas, Bocaditos de almendra y Empanadillas hechas al horno y rellenas de Boniato o Cidra con aroma de Aguardiente.</p>
","Dulces de Convento","C/ San José, 4",37.388198,-5.989179
"Convento de Santa Paula","<p>En el convento de Santa Paula se elaboran gran cantidad de dulces&nbsp; para su posterior venta al p&uacute;blico. Destacan entre todos: Mermeladas y jaleas (19 variedades), Dulce de membrillo y Pimientos morrones en alm&iacute;bar. En Navidad, Alfajores Moz&aacute;rabes.</p>
","Dulces de Convento","C/ Santa Paula ",37.396197,-5.985838
"Modesto ","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Ensaladilla","C/ Cano y Cueto, 5",37.385573,-5.986952
"Becerrita ","<p>En la Puerta Carmona, en la ronda hist&oacute;rica de Sevilla, en un singular edificio de principios del siglo XIX, se encuentra este tradicional restaurante con cinco generaciones de existencia.<br />
<br />
Reconocido en diversas ocasiones de alto inter&eacute;s gastron&oacute;mico, su carta se compone de platos de la cocina sevillana y andaluza con recetas tradicionales y otras de &nbsp;creaciones propias.</p>
<p>&nbsp;Es de destacar &nbsp;su carta de vinos que cuenta con casi todas las denominaciones de origen del pa&iacute;s.<br />
<br />
Dispone de varios comedores privados de distintas capacidades y servicio de aparcamiento exclusivo.</p>
<p>Dispone de certificado&nbsp; ISO 9001 emitido por Aenor.</p>
","Ensaladilla","C/ Recaredo,9",37.39051,-5.984227
"La Pepona ","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Ensaladilla","C/ Javier Lasso de la  Vega,1",37.393625,-5.994085
"Cervería Internacional","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Ensaladilla","C/ Gamazo,3",37.38755,-5.995779
"La Alicantina ","<p><strong>La Alicantina Restaurante &amp; Bar</strong>, nace en 1922 prestando servicio a los sevillanos y visitantes en el marco de la Sevilla m&aacute;s tradicional, la Plaza del Salvador, plaza peatonal en el centro hist&oacute;rico de la ciudad.</p>
<p>En La Alicantina conviven la tradicional &ldquo;<strong>tapa sevillana</strong>&rdquo; con los mejores mariscos, arroces y frituras de pescados.</p>
<p>Su fama gastron&oacute;mica va m&aacute;s all&aacute; del propio establecimiento, as&iacute; de todos es sabido que &ldquo;<strong>la ensaladilla</strong>&rdquo; es uno de sus mayores reclamos. Esta tapa ha sido premiada en varias ocasiones (mejor receta cl&aacute;sica en la Feria de la Tapa y la Gastronom&iacute;a 2.003, 2.005 y 2.007) y aunque es una receta muy com&uacute;n en casi todo el pa&iacute;s, &eacute;sta es especial. No lo decimos nosotros, sino todos aquellos que nos visitan, la prueban y repiten.</p>
<p>&nbsp;</p>
","Ensaladilla","Plaza Salvador,2",37.390243,-5.99299
"Puracepa ","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Ensaladilla","Plaza de San Francisco,5",37.388762,-5.994116
"Petit Comité ","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
<p>&nbsp;</p>
","Ensaladilla","C/ Dos de Mayo,30",37.38454,-5.996707
"Patio San Eloy ","<p>Bar, tienda gourmet y regalos: La Alacena San Eloy combina tienda gourmet, bar y regalos. El sitio perfecto para degustar las mejores tapas de nuestra tierra. Sin olvidar su exquisita bodega.</p>
<p>Una autentica leyenda en Sevilla, su ambiente sus tapas y excelentes productos asi como sus genuninas combinaciones de montaditos y tartas salada, hacen de este establecimiento un lugar de culto para todo amante de lo bueno de esta ciudad.<br />
&nbsp;</p>
","Ensaladilla","C/ San Eloy,9",37.392329,-5.996139
"Puratasca ","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Ensaladilla","C/ Numancia, 5 ",37.386608,-6.010181
"Casa Morales","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Ensaladilla","C/ García de Vinuesa, 11",37.386515,-5.994541
"Espacio Rompemoldes","<p class=""rtejustify"">&nbsp;</p>
<p class=""rtejustify"">Es un&nbsp;conjunto de talleres&nbsp;especializados en distintas disciplinas artesanas. Algunos tienen un peque&ntilde;o punto de venta de sus piezas y otros solo trabajan por encargo. Aunque s&iacute; existe un horario general para todo el espacio,&nbsp;cada taller trabaja con independencia de horario&nbsp;y de atenci&oacute;n al p&uacute;blico.</p>
<p class=""rtejustify"">&nbsp;</p>
<p class=""rtejustify"">&nbsp;</p>
<p class=""rtejustify""><strong>P&aacute;gina web:</strong></p>
<p class=""rtejustify"">rompemoldes.com</p>
","Espacio Rompemoldes","C/ San Luis, 70",37.399451,-5.988366
"Casablanca","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Especialidades","Adolfo Rodríguez Jurado, 12",37.383722,-5.9941
"Las Teresas","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Especialidades","Calle Santa Teresa, 2 ",37.385886,-5.989202
"Casa Ricardo (Antigua Casa Ovidio)","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com</p>
","Especialidades","C/ Hernán Cortés,2  ",37.397533,-5.996042
"La Estrella","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Especialidades","C/ La Estrella,3",37.388442,-5.991414
"Bodega Dos de Mayo","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Especialidades","Plaza de la Gavidia,6",37.39507,-5.997189
"Casa Paco ","<p>*Fotograf&iacute;a cedida por AZAHAR- SEVILLA.com</p>
","Especialidades","C/ Luis Huidrobro,23",37.388972,-5.971094
"Modesto ","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Especialidades","C/ Cano y Cueto, 5",37.385573,-5.986952
"Blanca Paloma","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Especialidades","C/ Pagés del Corro,86",37.383752,-6.005295
"Barbiana","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Especialidades","C/ Albareda, 11 ",37.389427,-5.995302
"Antigua Abaceria de San Lorenzo","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Especialidades","C/ Teodosio,53",37.397835,-5.997575
"Becerrita ","<p>En la Puerta Carmona, en la ronda hist&oacute;rica de Sevilla, en un singular edificio de principios del siglo XIX, se encuentra este tradicional restaurante con cinco generaciones de existencia.<br />
<br />
Reconocido en diversas ocasiones de alto inter&eacute;s gastron&oacute;mico, su carta se compone de platos de la cocina sevillana y andaluza con recetas tradicionales y otras de &nbsp;creaciones propias.</p>
<p>&nbsp;Es de destacar &nbsp;su carta de vinos que cuenta con casi todas las denominaciones de origen del pa&iacute;s.<br />
<br />
Dispone de varios comedores privados de distintas capacidades y servicio de aparcamiento exclusivo.</p>
<p>Dispone de certificado&nbsp; ISO 9001 emitido por Aenor.</p>
","Especialidades","C/ Recaredo,9",37.39051,-5.984227
"La Pepona ","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Especialidades","C/ Javier Lasso de la  Vega,1",37.393625,-5.994085
"Cervería Internacional","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Especialidades","C/ Gamazo,3",37.38755,-5.995779
"La Alicantina ","<p><strong>La Alicantina Restaurante &amp; Bar</strong>, nace en 1922 prestando servicio a los sevillanos y visitantes en el marco de la Sevilla m&aacute;s tradicional, la Plaza del Salvador, plaza peatonal en el centro hist&oacute;rico de la ciudad.</p>
<p>En La Alicantina conviven la tradicional &ldquo;<strong>tapa sevillana</strong>&rdquo; con los mejores mariscos, arroces y frituras de pescados.</p>
<p>Su fama gastron&oacute;mica va m&aacute;s all&aacute; del propio establecimiento, as&iacute; de todos es sabido que &ldquo;<strong>la ensaladilla</strong>&rdquo; es uno de sus mayores reclamos. Esta tapa ha sido premiada en varias ocasiones (mejor receta cl&aacute;sica en la Feria de la Tapa y la Gastronom&iacute;a 2.003, 2.005 y 2.007) y aunque es una receta muy com&uacute;n en casi todo el pa&iacute;s, &eacute;sta es especial. No lo decimos nosotros, sino todos aquellos que nos visitan, la prueban y repiten.</p>
<p>&nbsp;</p>
","Especialidades","Plaza Salvador,2",37.390243,-5.99299
"Puracepa ","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Especialidades","Plaza de San Francisco,5",37.388762,-5.994116
"Petit Comité ","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
<p>&nbsp;</p>
","Especialidades","C/ Dos de Mayo,30",37.38454,-5.996707
"Patio San Eloy ","<p>Bar, tienda gourmet y regalos: La Alacena San Eloy combina tienda gourmet, bar y regalos. El sitio perfecto para degustar las mejores tapas de nuestra tierra. Sin olvidar su exquisita bodega.</p>
<p>Una autentica leyenda en Sevilla, su ambiente sus tapas y excelentes productos asi como sus genuninas combinaciones de montaditos y tartas salada, hacen de este establecimiento un lugar de culto para todo amante de lo bueno de esta ciudad.<br />
&nbsp;</p>
","Especialidades","C/ San Eloy,9",37.392329,-5.996139
"Puratasca ","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Especialidades","C/ Numancia, 5 ",37.386608,-6.010181
"Bar Europa ","<p>Magn&iacute;fico caf&eacute; en pleno centro de Sevilla fundado en 1925 y restaurado en 1999. Premiado en numerosas ocasiones por sus tapas, ofrece adem&aacute;s una excelente carta de desayunos y de vinos por copas. Agradable terraza &nbsp;climatizada en la Plaza del Pan con vistas a la Iglesia del Salvador.</p>
<p>Admite reservas.</p>
","Especialidades","C/ Siete Revueltas,35 (Plaza del Pan)",37.39039,-5.992308
"Casa Ruperto","<p>&nbsp;</p>
<div>
&nbsp;</div>
","Especialidades","Avda. Santa Cecilia, 2 ",37.381784,-6.008503
"El Rey de los Caracoles ","<p>&nbsp;</p>
<div>
&nbsp;</div>
","Especialidades","C/ Santa Patronas, 11 ",37.388814,-5.999231
"Bar G. Hijón ","<p>&nbsp;</p>
<div>
&nbsp;</div>
","Especialidades","C/ Ronda de Capuchinos, 1 ",37.400051,-5.985042
"Bar Rodríguez","<p>&nbsp;</p>
<div>
<p>&nbsp;</p>
</div>
<p>&nbsp;</p>
","Especialidades","Plaza San Antonio de Padua",37.397789,-5.998517
"Bar Rosita ","<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<div>
&nbsp;</div>
","Especialidades","Avión Cuatro Vientos, local 12 ",37.375748,-5.975132
"La Primera del Puente ","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com</p>
","Especialidades","C/ Betis, 66 ",37.381353,-5.997799
"La Reja ","<p>&nbsp;</p>
<div>
&nbsp;</div>
","Especialidades","C/ Santa María de Gracia,13",37.392624,-5.994923
"Génova ","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com</p>
","Especialidades","Avda. de la Constitución,10",37.389173,-5.997262
"El Candil Triana ","<p>&nbsp;</p>
<div>
&nbsp;</div>
","Especialidades","C/ Paraíso,3",37.379286,-6.001041
"Bodega Santa Cruz (Las Columnas)","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Especialidades","C/ Rodrigo Caro, 1 ",37.386023,-5.990772
"Restaurante La Infanta ","<p>&nbsp;</p>
<div>
&nbsp;</div>
","Especialidades","C/ Arfe, 32",37.385632,-5.995508
"Asador Salas ","<p>&nbsp;</p>
<div>
&nbsp;</div>
","Especialidades","C/ Almansa, 15",37.38832,-5.999788
"Bodega Góngora ","<p>Bodega llena de Solera por sus&nbsp;75 a&ntilde;os de historia&nbsp;(1939 - 2014).</p>
<p>Situada en pleno centro de Sevilla ofrece tanto en su interior como en su amplia Terraza el mejor Marisco fresco, chacinas, guisos marineros, pesca&iacute;to frito y el mejor tapeo sevillano acompa&ntilde;ado de excelentes caldos de la tierra.</p>
","Especialidades","C/ General Polavieja, 15 y 17",37.389677,-5.994534
"La Raza ","<p>En 1929 se celebra en Sevilla la Exposici&oacute;n Iberoamericana y el parque de Mar&iacute;a Luisa -antiguos jardines del Palacio de los Duques de Montpensier, donado a la ciudad por la Infanta Mar&iacute;a Luisa de Borb&oacute;n a principios del siglo XIX- fue el lugar elegido para la ubicaci&oacute;n de los pabellones de los pa&iacute;ses participantes.</p>
<p>&nbsp;</p>
<p>El Pabell&oacute;n de la Informaci&oacute;n, que daba la bienvenida a los visitantes, estaba situado a la entrada de la Exposici&oacute;n. Este edificio hist&oacute;rico es en el que se encuentra desde mediados del siglo pasado el Restaurante La Raza. Las reformas realizadas en estos a&ntilde;os han respetado su estructura principal y conservado sus emblem&aacute;ticos torreones, manteniendo su integraci&oacute;n en el parque de Mar&iacute;a Luisa.</p>
<p>&nbsp;</p>
<p>En la actualidad, la situaci&oacute;n del Restaurante La Raza es inmejorable: en pleno parque de Mar&iacute;a Luisa, frente al&nbsp;Casino de la Exposici&oacute;n&nbsp;y al&nbsp;Teatro Lope de Vega, rodeado de una extensa vegetaci&oacute;n y con varias terrazas al aire libre, lugar privilegiado en la ciudad que se ha convertido en un referente de la restauraci&oacute;n sevillana.</p>
<p>&nbsp;</p>
<p>Adem&aacute;s del bar-cafeter&iacute;a, con una amplia variedad de&nbsp;tapas y raciones, y del restaurante a la carta, con&nbsp;platos tradicionales&nbsp;de la cocina andaluza, el&nbsp;Restaurante La Raza&nbsp;dispone de amplios salones para celebraciones (bodas, bautizos, comuniones&hellip;) y eventos empresariales con vistas al&nbsp;parque de Mar&iacute;a Luisa y capacidad para hasta 400 comensales. No en vano, desde sus inicios y hasta nuestros d&iacute;as, el Restaurante La Raza ha sido y es el lugar elegido por much&iacute;simas familias para sus celebraciones, menteniendo una fidelidad con ellas a lo largo de los a&ntilde;os generaci&oacute;n tras generaci&oacute;n.</p>
<p>&nbsp;</p>
<p>Desde 2008, el Restaurante La Raza ostenta la certificaci&oacute;n de&nbsp;Q de Calidad Tur&iacute;stica Espa&ntilde;ola, que concede el ICTE (Sistema de Calidad Tur&iacute;stica Espa&ntilde;ola), y laCertificaci&oacute;n SICTED&nbsp;(Sistema Integral de Calidad Tur&iacute;stica en Destino). Adem&aacute;s, tambi&eacute;n est&aacute; registrado en la web&nbsp;Hosteler&iacute;a Accesible, que recoge aquellos establecimientos que re&uacute;nen las caracter&iacute;sticas especif&iacute;cas para que todas las personas puedan disfrutar de su gastronom&iacute;a independientemente de sus capacidades f&iacute;sicas, ps&iacute;quicas o sensoriales.</p>
","Especialidades","Avda. Isabel La Católica s/n",37.37667,-5.987818
"El Bacalao ","<p>www.elbacalao.es&nbsp;</p>
","Especialidades","C/ Tarifa,9",37.393041,-5.995261
"Freiduría El Arenal ","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Especialidades","C/ Arfe, 8 ",37.385098,-5.997066
"Taberna Chani ","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Especialidades","C/ Espinosa y Cárcel, 43",37.378306,-5.973529
"Casa Manolo León","<p>Est&aacute; Ubicada en una antigua casa se&ntilde;orial sevillana, en pleno centro hist&oacute;rico. En el restaurante disfrutar&aacute; de un patio t&iacute;pico andaluz.</p>
<p>Ambiente elegante y distinguido. Ofrece una amplia carta, desde las carnes a guisos, con un amplio surtido de pescado y marisco. Su bodega situada al final del patio es amplia y prometedora.</p>
","Especialidades","C/ San Jorge, 16",37.397835,-5.997575
"Restaurante Alcuza","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com</p>
","Especialidades","C/ Campamento, 29",37.380843,-5.98126
"La Hostería del Prado ","<p>Con una situaci&oacute;n privilegiada, al final de la calle San Fernando, junto a la Universidad (antigua F&aacute;brica de Tabacos) y los Jardines de San Sebasti&aacute;n, se ubica La Hoster&iacute;a del Prado desde 1.946, un restaurante de primer orden, &uacute;nico en su categor&iacute;a en aquellos a&ntilde;os, donde tradici&oacute;n e innovaci&oacute;n se dan la mano ofreciendo en su carta una gastronom&iacute;a t&iacute;pica de la provincia de Sevilla.</p>
<p>Tradici&oacute;n, porque sus platos conservan el sabor de anta&ntilde;o, elaborados todos ellos con productos aut&oacute;ctonos de la provincia de Sevilla, e innovaci&oacute;n, porque en los &uacute;ltimos tiempos La Hoster&iacute;a del Prado se ha transformado en centro gastron&oacute;mico de la ciudad, con unas renovadas y luminosas instalaciones que se adaptan a las necesidades actuales de los clientes, acogiendo eventos y celebraciones de toda &iacute;ndole, y donde la gastronom&iacute;a ocupa, como no pod&iacute;a ser de otra forma, un papel primordial. Espacio de Show-Cooking, talleres de cocina, catas, presentaciones de productos y hasta actividades infantiles en las que se inicia a los ni&ntilde;os en la gastronom&iacute;a, todo ello tiene cabida en La Hoster&iacute;a del Prado.</p>
<p>En 2008 La Hoster&iacute;a del Prado recibe la certificaci&oacute;n de Q de Calidad Tur&iacute;stica Espa&ntilde;ola, que concede el ICTE (Sistema de Calidad Tur&iacute;stica Espa&ntilde;ola), y la Certificaci&oacute;n SICTED (Sistema Integral de Calidad Tur&iacute;stica en Destino). Tambi&eacute;n est&aacute; registrado en la web Hosteler&iacute;a Accesible, que recoge aquellos establecimientos que re&uacute;nen las caracter&iacute;sticas especif&iacute;cas para que todas las personas puedan disfrutar de su gastronom&iacute;a independientemente de sus capacidades f&iacute;sicas, ps&iacute;quicas o sensoriales.</p>
","Especialidades","Plaza San Sebastián, 1",37.381627,-5.98631
"La Cantina ","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Especialidades","Mercado de Abastos Calle Feria, Puesto 111",37.399184,-5.991821
"Mesones El Serranito ","<p>Disfruta de uno los platos mas autenticos de Sevilla y origen de este.</p>
<p>El Serranito&quot;paellas,tapas con tradicion y sabor andaluz , ambiente taurino repartido en los lugares con mas arte y solera de Sevilla.</p>
<p>&nbsp;</p>
","Especialidades","C/ Antonia Díaz, 11",37.385937,-5.996894
"Zarabanda","<p>*Fotograf&iacute;a cedia por AZAHAR-SEVILLA.com</p>
","Especialidades","C/ Padre Tarín, 6 ",37.395126,-5.996312
"D MERCAO","<p>DMERCAO ES UN RESTAURANTE DE COMIDA MEDITERR&Aacute;NEA DE TEMPORADA CON INFLUENCIA JAPONESA. NOS ENCONTRAMOS EN LA C/ CONDE DE BARAJAS, 23,EN EL C&Eacute;NTRICO BARRIO DE SAN LORENZO. , EN UNA ANTIGUA CASA SEVILLANA REFORMADA,&nbsp; CON PATIO ANDALUZ CON o&nbsp;&nbsp; &nbsp;DMERCAO ES UN RESTAURANTE DE COMIDA MEDITERR&Aacute;NEA DE TEMPORADA CON INFLUENCIA JAPONESA. NOS ENCONTRAMOS EN LA C/ CONDE DE BARAJAS, 23,EN EL C&Eacute;NTRICO BARRIO DE SAN LORENZO. , EN UNA ANTIGUA CASA SEVILLANA REFORMADA,&nbsp; CON PATIO ANDALUZ CON AZULEJOS DEL QUIJOTE DE LA EXPOSICI&Oacute;N DEL 29, SUELOS HIDR&Aacute;ULICOS Y DECORACI&Oacute;N MINIMALISTA. AMBIENTE ACOGEDOR.<br />
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p>
","Especialidades","C/ Conde de Barajas, 23",37.396749,-5.995892
"GAGO6","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Especialidades","C/ Mateos Gago,6",37.386027,-5.991428
"Bar Bistec","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com</p>
","Especialidades","C/ Pelay Correa, 34",37.382789,-6.000945
"Casa Morales","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Especialidades","C/ García de Vinuesa, 11",37.386515,-5.994541
"Pando Cuna ","<p>Majestuoso edificio de 3 plantas estructurado en diferentes ambientes y salones para adaptarse a cualquier tipo de evento o celebraci&oacute;n&nbsp; ya sea empresarial o privada.</p>
<p>Su cuidad decoraci&oacute;n basada en el estilo arquitect&oacute;nico del S. XIX es el complemento a una excelente gastronom&iacute;a referencia en la restauraci&oacute;n sevillana de hoy.</p>
","Especialidades","C/ Cuna, 5 ",37.39231,-5.993586
"Cabo Roche ","<p>Cuando existe una s&oacute;lida vocaci&oacute;n profesional y una apuesta por el trabajo serio y riguroso, los resultados hablan por s&iacute; solos.&nbsp; El Restaurante Cabo Roche, ubicado en Ramon y Cajal n 8 , se ha hecho un hueco en el Panorama Gastron&oacute;mico sevillano y,por ende,en el andaluz. Su clientela es fiel,y eso lo dice todo.</p>
<p>En Cabo Roche el comensal es lo mas importante. La esencia de este bello restaurante reside en su gastronom&iacute;a,y en el esmerado servicio de sus profesionales. El equipos de cocina mantienen intocable los plato que marca la Cocina Popular.</p>
","Especialidades","Avda. de Ramón y Cajal, 8",37.376991,-5.974747
"Pepe Hillo ","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Especialidades","C/ Adriano, 24 ",37.386798,-5.998976
"Baco Cuna","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Especialidades","C/ Cuna, 2",37.3924,-5.993656
"Bar Manolo ","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Especialidades","C/ Alfalfa, 3 ",37.390179,-5.990285
"Bar Dueñas ","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Especialidades","C/ Gerona, 3 ",37.394747,-5.990015
"Taberna Berrocal","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Especialidades","C/ Moratín, 6",37.389914,-5.99761
"Las Teresas","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Espinacas con Garbanzos","Calle Santa Teresa, 2 ",37.385886,-5.989202
"Modesto ","<p>*Fotograf&iacute;a cedida por AZAHAR-SEVILLA.com.</p>
","Espinacas con Garbanzos","C/ Cano y Cueto, 5",37.385573,-5.986952
"Bar Europa ","<p>Magn&iacute;fico caf&eacute; en pleno centro de Sevilla fundado en 1925 y restaurado en 1999. Premiado en numerosas ocasiones por sus tapas, ofrece adem&aacute;s una excelente carta de desayunos y de vinos por copas. Agradable terraza &nbsp;climatizada en la Plaza del Pan con vistas a la Iglesia del Salvador.</p>
<p>Admite reservas.</p>
","Espinacas con Garbanzos","C/ Siete Revueltas,35 (Plaza del Pan)",37.39039,-5.992308
